,type,Conv_M1,Conv_M2,Conv_M3,Conv_M4,Conv_M5,Conv_M6,Conv_F1,Conv_F2,Conv_F3,Conv_F4,Conv_F5,Conv_F6,GF_F1,GF_F2,GF_F3,GF_F4,GF_F5,GF_F6,GF_M1,GF_M2,GF_M3,GF_M4,GF_M5,GF_M6
MOPEG sulfate,sulfate,971766.9514,968835.9515,618737.4798,1029204.753,973651.1092,634903.7342,403601.51,375212.7393,424200.0223,445175.3969,397260.8895,418107.0128,2983845.964,4304984.497,4508477.554,961215.9966,1406888.27,1974695.414,1334628.88,1565970.668,2325195.618,3420254.077,2207217.592,1516682.313
Dihydroferulate 4-sulfate,sulfate,477632.2516,574320.8095,686736.6096,407465.2797,412172.7618,571109.1293,457031.4491,55762.40969,514166.1442,122046.2706,506798.9767,26461.95226,1120569.743,1293076.634,2943547.496,2050553.827,2167628.95,2408595.304,2592673.527,1532465.449,1494389.554,3450390.868,3023658.532,2689563.18
Dopamine 3-O-sulfate,sulfate,6916128.559,8104334.76,6017743.126,6335659.924,7452243.632,4995833.596,3049975.996,2404459.377,4729302.63,6786949.085,2669015.124,4950599.816,1200075.19,1209543.406,1116442.357,900671.0499,1160637.983,1390391.718,856116.4401,907129.9625,1162152.343,1125046.473,1343823.537,1405052.293
Dopamine 4-sulfate,sulfate,3377063.316,3052164.615,2662178.587,3278525.435,3912186.568,2554664.914,275734.2741,376392.2109,366175.1587,520499.8413,279314.7082,2057784.577,631257.2379,669751.2823,706821.7522,592293.8924,634080.7199,675989.0128,328063.7581,483797.2186,668946.7259,488518.8494,343077.8771,607001.2398
Equol 4'-sulfate,sulfate,882247.4393,314085.0381,541710.6224,188719.1972,282633.9085,308077.6477,949286.4288,963773.4297,948363.5454,793004.4954,871547.8081,933244.5203,1968939.354,1772353.153,2104159.495,2198123.013,2032574.27,2468726.746,1659969.803,1771415.096,2005301.781,2256406.056,1968647.419,1673653.433
Homovanillate sulfate,sulfate,1470998.63,2109701.309,1517151.038,1221415.19,1590960.814,1295123.837,296963.3641,77760.51615,231543.5003,105842.9455,107012.9934,80409.08103,10101313.78,9743969.046,11582817.61,9838054.282,10231147.47,12487505.6,9689609.475,9450393.017,9356103.066,12201219.78,10426538.6,9689122.781
Indole-3-carboxylate-O-sulfate,sulfate,152274.259,379455.7985,302651.6949,357031.3444,321112.8379,171923.7027,21832.86443,8196.081557,18694.90529,33516.67181,12468.89297,4137.464143,409730.5958,290291.8014,440978.6481,152681.0227,355324.9489,375105.0532,954520.5453,952879.358,432758.6477,441414.9392,243951.2583,299615.7692
Isoferulate 3-sulfate,sulfate,241099.1813,251769.9055,291193.9404,250504.6368,241746.2079,239553.9285,204336.0395,227557.8219,249851.1691,227018.5934,235362.7468,201488.5181,460357421,482125587.3,590890435.4,410421210.1,432930164,547247429.2,529317986.9,500938162.2,530612260.9,677443665.6,582095802.2,483534008.1
3-(3-Hydroxyphenyl)propanoate sulfate,sulfate,1836529.152,571984.0969,865923.315,386091.2413,873950.2562,820924.5356,58805.84075,192213.0232,157356.4081,176262.6978,198440.4881,47128.4136,3621216.772,3214555.356,5337065.163,457162.2842,738047.3294,1086681.982,1035563.099,1019516.236,2108999.138,3465200.868,1627869.431,1089675.273
4-Hydroxy-5-(4'-hydroxyphenyl)valerate-4'-O-sulfate,sulfate,521756.3566,57939.66272,429327.5937,459853.597,432090.0765,498657.1798,368360.0326,309443.1675,329070.6201,372549.0087,363167.7119,346716.5145,3419366.805,2805669.517,4099420.213,1858582.483,2187799.487,2577569.577,2905039.035,3024070.398,3028194.4,4241273.517,3070486.045,2718215.453
Pyrogallol-1-O-sulfate,sulfate,1820667.403,1891593.097,1726608.014,2004696.253,2118614.816,1968353.904,1258881.359,1363832.088,1317751.13,1573282.671,1326197.714,1431326.214,9131584.313,15135221.26,13799531.52,1679747.152,3415475.52,2966043.471,6037025.463,12379960.8,5845151.242,8646090.574,4358905.617,5066479.444
Taurocholate 3-sulfate,sulfate,63377.10092,0,1637555.693,74747.2048,13458.345,0,6061569.971,10251339.25,9221717.997,789519.9523,7451494.025,12215747.63,3302713.161,4070822.884,4132007.655,4984727.261,4928380.07,5753987.013,17767654.51,19697055.49,13804833.88,16760288.29,14905718.67,16999686.54
Xanthurenate 8-O-sulfate,sulfate,291082.5054,262158.5811,219066.886,259309.5034,290980.3368,176107.3225,15013.43422,31284.36565,31934.30707,25460.35227,3251.723599,10855.53403,905160.3577,972052.6321,1527637.459,816721.6485,883119.1522,1156318.881,1358971.913,1382614.957,1332038.591,1819712.349,1341288.899,1224505.987
