id,name,group,updown
M128T1_1,Pyroglutamate,Male-Only,CONV-R Enriched
M146T1_4,N-Acetyl-serine,Male-Only,CONV-R Enriched
M153T4_1,2-Pyrocatechuate,Male-Only,CONV-R Enriched
M164T3_3,Homomethionine,Male-Only,CONV-R Enriched
M173T1_10,N6-Formyl-lysine (FLys),Male-Only,CONV-R Enriched
M173T1_13,L-Arginine,Male-Only,CONV-R Enriched
M206T4_4,Xanthurenate,Male-Only,CONV-R Enriched
M251T2_3,Threoninyl-Methionine,Male-Only,CONV-R Enriched
M274T1_11,Glutamyllysine,Male-Only,CONV-R Enriched
M329T8_5,"9,10,13-TriHOME",Male-Only,CONV-R Enriched
M351T8_3,"2,3-Dinor-8-epi-prostaglandin F1_",Male-Only,CONV-R Enriched
M75T1,Glycolate,Male-Only,CONV-R Enriched
M89T1_3,L-(+)-Lactate,Male-Only,CONV-R Enriched
M119T1_5,"(S)-3,4-Dihydroxybutyrate",Male-Only,CONV-R Enriched
M127T2_2,Thymine,Male-Only,CONV-R Enriched
M145T4_1,Adipate,Male-Only,CONV-R Enriched
M146T6,Indole-3-carboxaldehyde,Male-Only,CONV-R Enriched
M204T1_15,Glycyl-Lysine,Male-Only,CONV-R Enriched
M217T3_5,Valyl-Valine,Male-Only,CONV-R Enriched
M224T4_6,4-Amino-4-deoxychorismate,Male-Only,CONV-R Enriched
M244T2_3,Isoleucyl-Asparagine,Male-Only,CONV-R Enriched
M279T9_2,_-Linolenate,Male-Only,CONV-R Enriched
M279T5_3,alpha-Ribazole,Male-Only,GF Enriched
M282T5_2,4-Hydroxyphenylacetylglutamine,Male-Only,GF Enriched
M321T1_3,Benzoyl glucuronide (Benzoate),Male-Only,GF Enriched
M379T6_3,11-Dehydrocorticosterone,Male-Only,GF Enriched
M618T6_1,Taurocholate 3-sulfate,Male-Only,GF Enriched
M338T5_1,S-(Hydroxymethyl)glutathione,Male-Only,GF Enriched
M114T1_2,L-Proline,Male-Only,GF Enriched
M218T2_3,"2,3-Pentanedione",Male-Only,GF Enriched
M223T1_6,L-Cystathionine,Male-Only,GF Enriched
M262T4_5,Glycyl-Tryptophan,Male-Only,GF Enriched
M183T1_8,Galactitol,Male-Only,GF Enriched
M310T1_5,N-Acetylneuraminate,Male-Only,GF Enriched
M417T8_2,"3_,7_-Dihydroxycoprostanate",Male-Only,GF Enriched
M464T8_1,Dihydrocytochalasin B _-lactone,Male-Only,GF Enriched
M143T1_11,Ectoine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M180T4_5,3-Methylcrotonylglycine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M209T5_4,"L,L-Cyclo(leucylprolyl)",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M220T2_1,S-(3-Oxo-3-carboxy-n-propyl)cysteine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M222T1_7,N-Acetylgalactosamine (GalNAc),Not Sex-Specific & Opposite Trend,CONV-R Enriched
M245T6_5,3-Hydroxydodecanedioate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M249T9_2,"6Z,9Z,12Z-Octadecatriene",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M257T9,3-Hydroxypentadecanoate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M655T8_1,Coproporphyrin III,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M103T1_2,Malonate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M117T4,2-Hydroxy-3-methylbutyrate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M149T7_2,1-Methyl-4-(1-methylpropyl)-benzene,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M161T1_7,2-Hydroxyadipate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M182T3_10,2-(5-Methyl-2-furanyl)-3-piperidinol,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M198T1_7,"3,4-Dihydroxy-L-phenylalanine (L-DOPA)",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M360T4_5,Glu-Ile-Val,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M148T1_6,L-Methionine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M203T2_7,Alanyl-Leucine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M233T3_3,Threoninyl-Leucine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M279T5_5,Phenylalanyl-isoleucine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M615T6,Mesobilirubinogen,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M115T2,_-Ketoisovalerate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
