"","variable","importance"
"1","X1178",0.183833333333333
"2","X5950",0.1625
"3","X6426851",0.140833333333333
"4","X161166",0.118333333333333
"5","X13712",0.113666666666667
"6","X69726",0.112666666666667
"7","X9548882",0.0953333333333333
"8","X11953816",0.0945
"9","X3247037",0.0941666666666667
"10","X5283905",0.0931666666666667
"11","X44263344",0.0931666666666667
"12","X53480673",0.093
"13","X8742",0.093
"14","X14274616",0.0925
"15","X6613",0.091
"16","X440120",0.0903333333333333
"17","X131752029",0.0895
"18","X3838871",0.0895
"19","X33032",0.0711666666666667
"20","X131752243",0.0711666666666667
"21","X5202",0.071
"22","X441106",0.071
"23","X135564621",0.071
"24","X5840046",0.071
"25","X29981063",0.0706666666666667
"26","X25203290",0.0705
"27","X9839519",0.0705
"28","X7322",0.0703333333333333
"29","X131751124",0.0703333333333333
"30","X5363896",0.0703333333333333
"31","X107461",0.0701666666666667
"32","X74539967",0.0701666666666667
"33","X5284095",0.07
"34","X10459",0.0696666666666667
"35","X52922058",0.0696666666666667
"36","X227",0.0691666666666667
"37","X152314",0.069
"38","X53480447",0.069
"39","X44260123",0.0688333333333333
"40","X115015",0.0686666666666667
"41","X10328",0.0685
"42","X15270795",0.0685
"43","X22935676",0.0683333333333333
"44","X440785",0.0683333333333333
"45","X53481683",0.0683333333333333
"46","X5960",0.068
"47","X13894650",0.0678333333333333
"48","X60961",0.0675
"49","X11954072",0.0671666666666667
"50","X21488123",0.0671666666666667
"51","X93078",0.0671666666666667
"52","X168381",0.067
"53","X50990081",0.0665
"54","X9963687",0.0631666666666667
"55","X439283",0.0626666666666667
"56","X66141",0.0478333333333333
"57","X757",0.0478333333333333
"58","X5284076",0.0478333333333333
"59","X49",0.0478333333333333
"60","X24779630",0.0478333333333333
"61","X439230",0.0478333333333333
"62","X135398593",0.0478333333333333
"63","X1175",0.0478333333333333
"64","X10025615",0.0478333333333333
"65","X440018",0.0476666666666667
"66","X124202362",0.0476666666666667
"67","X193825",0.0476666666666667
"68","X53481699",0.0476666666666667
"69","X53478751",0.0476666666666667
