1_30A1A_M,2_30A1B_M,3_30A1C_M,4_30A2A_M,5_30A2B_M,6_30A2C_M,7_9A1C_F,8_9A2A_F,9_9A2B_F,10_9A2C_F,11_9A2D_F,12_9A2E_F,13_GF_27F2,14_GF_27F3,15_GF_27F4,16_GF_27F5,17_GF_27F6,18_GF_27F7,19_GF_27M1,20_GF_27M2,21_GF_27M5,22_GF_27M7,23_GF_27M8,24_GF_27M9
4627206.991,5315779.25,5587501.663,5776107.488,5222277.505,4050649.832,5156084.561,16977796.76,15442581.78,6493014.376,6465991.822,5579623.868,21781644.72,10657222.83,10335011.39,9933032.059,7741248.027,18853222.95,6673547.954,8856509.833,8638418.047,8617581.572,9044350.566,22136480.11
6718449.58,7090498.205,7300622.685,5558693.223,5347250.677,5923239.968,4890528.783,6299845.988,5918019.615,6500565.664,6112566.673,5222308.454,6304139.407,5829636.529,5795366.856,5285311.78,6206990.813,6029679.881,5541079.849,6914034.574,5716985.846,5269019.971,5487770.845,6005727.044
139339046.3,151552095.3,75450165.96,116818749.1,116491296,92911243.31,145114138.5,119597745.1,121412843.4,141524808.2,123102832.3,240574528.4,102806489.4,120536441.4,104154007.4,191276531.1,102234808.7,169539969.3,133695064.2,106803520.6,134367482.1,137625723.7,124673518,100724171.9
5309119.319,4220005.943,5119089.681,1888323.235,4592432.851,2061838.296,2094029.565,5463480.034,2503253.354,2226920.223,4378405.611,4327643.075,2784350.794,3505182.682,2557177.742,3640398.148,5191844.102,2247694.335,4481892.382,5194018.318,3430729.674,4546667.48,2325100.62,4671551.356
1437019.219,998582.7745,3381677.534,1462372.453,530423.023,524136.8897,1183340.113,1271894.67,807572.5461,1258567.432,843355.2743,783926.3625,715386.4798,861733.254,869287.4824,1222861.211,1099640.056,488746.6565,837825.4298,1159111.894,1093046.44,1058171.867,2887347.628,871048.1218
4516415.685,1209275.594,5148234.54,635162.7574,553315.2395,1323857.279,1464807.637,959011.1795,904122.9061,1420712.474,1204448.289,1247854.327,887518.88,1389949.833,1378255.327,4701810.539,502853.8963,1151947.364,1300292.032,955865.6331,719790.7477,763091.2019,4703702.247,864807.7639
809321.7312,470116.2427,578375.3906,389744.6605,812245.577,803003.4491,530174.0496,959895.5588,557928.619,875388.7961,743044.9039,589056.3089,681006.7033,685830.8337,750695.4016,759774.7147,586908.489,711032.633,735338.7503,732189.023,320881.441,988643.4137,799403.3263,527389.53
3321039.599,1065417.846,2805985.86,1003525.946,1020210.167,2374644.85,2873271.803,2628839.471,1250191.606,1225115.147,1895639.321,1986958.502,1335632.315,2652250.377,1143069.728,2282789.209,1517255.798,1771931.768,2260244.328,1637476.707,1130736.897,1905471.472,1129684.194,2683085.041
2470756.611,2322835.208,2543163.316,2298868.676,2414027.073,2499529.735,2216492.291,2138411.138,2217760.389,2126767.809,2383608.194,2548301.66,2682027.091,2628553.233,2571872.195,2515303.673,2273274.316,2178141.829,2239379.209,2542164.657,2464110.038,2397879.654,2466590.793,2394163.006
6194214.106,3262872.887,2775402.266,6052273.033,3573544.122,3569762.103,4359299.783,3273863.891,2936424.372,4267834.123,3348088.266,3566781.483,3774321.176,3332200.824,3279622.556,4401410.897,1554828.652,3493142.818,4079991.96,2800520.256,3362153.011,4732188.927,5767667.275,5035200.281
1653249.085,1561279.979,1515225.61,1175958.28,1036458.51,1559420.487,1096502.061,1263825.92,1189490.749,1463816.149,1007147.214,1097312.499,1549405.895,1333221.994,1298205.078,1639038.947,1235039.953,1571763.988,1402659.435,1324728.037,1167480.853,1070071.279,1293954.824,1264985.479
674514396.8,676241855.1,674673185,720453434.4,686607550,657189335,689102053.1,671108648.2,681009961.5,670258290.1,687856229.3,653392023.8,556221361,650603539.4,659436239.4,641956792.4,649806259.8,650120049.7,687523685,674845048.4,609926288.7,673618112.2,628187948.5,624721250.7
1167601.87,139594.9236,100897.5275,1682705.157,1721453.451,178705.9743,1915795.685,3300865.762,1517179.144,1171300.706,3134940.954,3940202.846,6056728.41,1239044.082,1277439.548,1132457.575,197633.8278,882544.7742,1455641.099,2548323.009,1648611.006,3242216.807,1814667.127,2389929.392
4978721.067,3906519.615,2768136.756,5062314.37,4322297.779,3696716.524,5113896.581,4518473.485,3954678.928,3571547.828,3995024.918,3917541.491,2275073.804,3748929.03,3520103.617,3729075.625,4253897.064,3117589.507,3384187.274,3039463.509,4183211.533,4771956.448,3854135.181,3128305.286
20821070.07,19826789.58,8676620.66,23989489.98,23680402.13,15392814.71,16858773.19,18855739.47,19541141.37,17444094.66,18019555.5,24681081.97,14585978.85,16356532.47,18607010.12,16598558.79,17610847.2,15703079.81,14492307.59,12805394.8,16880848.65,19178917.39,21160815,11481107.78
468950.1514,490021.8288,461377.6144,506792.6288,465157.3602,358218.8352,524148.3095,491753.7238,437678.1202,327207.5229,507919.2872,400128.9401,338869.2683,529709.0764,388186.1164,345246.3779,592346.6474,295055.7455,404462.5329,509722.0547,425411.4785,464961.6592,353302.9998,329334.7026
2486639.156,1435062.328,1467556.165,1590161.093,2073361.961,2048394.279,1584510.982,2065175.819,1874622.151,3563077.309,1831814.154,2058139.711,1439255.623,1762511.451,1572426.869,1906361.814,1456981.019,1403454.927,1493222.001,1473287.779,1538523.252,1520437.628,1975334.209,1547165.86
62837634.29,82513313.42,94753057.15,25665747.23,22304025.34,40055220.08,64543330.12,55674809.79,25286856.35,50412955.75,29819875.37,19179379.74,117927565.3,165918823.7,2524192.238,32720504.01,37798059.56,26066421.79,22032643.56,139476695.6,19518884.46,36890433.58,31020431.58,82907260.1
20947835.82,62075640.91,57733412.83,22418064.15,2430623.899,17652278.31,19773453.59,28248332.88,17545105.05,28370821.04,19448275.02,17441854.18,62334778.99,56399898.35,23290094.14,18609488.13,38555241.08,27831153.76,23582439.87,48660265.97,36305194.69,26950559.71,20336356.87,62758323.91
21798133.59,100420759.5,388860758.4,18855454.16,42427204.53,24048321.47,29229363.63,47044848.38,23177401.97,20940366.27,30840618.88,13320343.3,416828733.4,218562496.1,59342037.2,26706598.96,37621921.49,10212166.45,30173801.36,105746758.3,18160614.61,17204912.96,38194773.27,263754677.4
25484261.18,172332686.5,146081233.3,22082485.69,7354497.845,16501985.91,15940844.76,28541886.65,1765160.28,16818137.13,20647890.4,13142008.05,189215457.7,248126655.7,32415446.88,25141674.62,30844187.45,25247364.24,57843221.69,101381025.7,22956083.79,39661013.14,26398785.88,305703141.8
20186421.72,37136682.33,147015124,46922734.64,38103961.5,22075128.2,27844123.32,24566731.46,19303397.52,20020124.49,19754034.61,14849587.78,100860742.2,83531815.14,61263733.7,35269055.97,3078174.251,19441113.01,32898847.77,236184361,56753846.01,27919660.93,27976027.14,202471091.8
31361165.36,196277007.3,135168015.7,21733527.97,26084640.71,25392567.98,13145959.17,20685104.44,10249892.89,2612172.267,15809301.95,18587030.75,10586655.56,100311790.5,18450479.8,24800020.64,29165825.72,32126547.66,34091786.95,104088791.1,34823751.82,25097928.16,24849946.14,78091585.07
21803821.12,180117051.8,109502462,34841741.91,27312272.72,12989758.77,33522788.55,26702980.56,19188102.98,29961671.03,21854655.82,27129689.37,131562682.4,128726960.8,5638290.245,29087720.11,90345024.56,38483660.01,22211824.73,382750956.8,23300645.49,34220114.74,33854184.65,127884681
25287700,32510814.85,22712059.4,27069517.32,31265718.45,25326539.58,27154750.63,31348774.73,22063326.16,25535900.58,29308638.51,25603180.59,26482568.26,27153121.85,30912588.49,26542023.51,32055420.8,29216631.77,23396701.56,25703672.44,24940609.08,22288803.32,26253291.05,24934834.68
